"ProcessName","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"services","::","49674","::","0","Listen"
"jhi_service","::1","49669","::","0","Listen"
"spoolsv","::","49668","::","0","Listen"
"svchost","::","49667","::","0","Listen"
"svchost","::","49666","::","0","Listen"
"wininit","::","49665","::","0","Listen"
"lsass","::","49664","::","0","Listen"
"OneDrive.Sync.Service","::1","42050","::","0","Listen"
"mysqld","::","33060","::","0","Listen"
"svchost","::","7680","::","0","Listen"
"mysqld","::","3306","::","0","Listen"
"System","::","445","::","0","Listen"
"svchost","::","135","::","0","Listen"
"chrome","0.0.0.0","64685","0.0.0.0","0","Bound"
"compsup","0.0.0.0","64380","0.0.0.0","0","Bound"
"Discord","0.0.0.0","64276","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","63738","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","63737","0.0.0.0","0","Bound"
"compsup","0.0.0.0","63475","0.0.0.0","0","Bound"
"compsup","0.0.0.0","60994","0.0.0.0","0","Bound"
"compsup","0.0.0.0","60992","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","60803","0.0.0.0","0","Bound"
"compsup","0.0.0.0","60463","0.0.0.0","0","Bound"
"compsup","0.0.0.0","60444","0.0.0.0","0","Bound"
"mongod","0.0.0.0","60386","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","60359","0.0.0.0","0","Bound"
"chrome","0.0.0.0","60266","0.0.0.0","0","Bound"
"mongod","0.0.0.0","60188","0.0.0.0","0","Bound"
"mongod","0.0.0.0","59818","0.0.0.0","0","Bound"
"mongod","0.0.0.0","59817","0.0.0.0","0","Bound"
"mongod","0.0.0.0","59669","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","59568","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","59539","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","59538","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","59502","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","59501","0.0.0.0","0","Bound"
"mongod","0.0.0.0","59486","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","59465","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","59464","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","59463","0.0.0.0","0","Bound"
